time,header_stamp_secs,header_stamp_nsecs,header_frame_id,status_status,status_service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
2026/02/13 16:08:07.385116035,142,100000000,gnss_link,1,1,55.86728228389194,37.691072185605506,150.2067810734734,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:07.675040698,142,200000000,gnss_link,1,1,55.867282296118894,37.69107076326748,150.20688841771334,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:07.941551552,142,300000000,gnss_link,1,1,55.867282304574985,37.6910693646616,150.20689638424665,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:08.213300454,142,400000000,gnss_link,1,1,55.86728230826405,37.691067970835554,150.20701636187732,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:08.496610693,142,500000000,gnss_link,1,1,55.86728230425454,37.691066576367824,150.20706651359797,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:08.780766077,142,600000000,gnss_link,1,1,55.867282297014334,37.691065174543326,150.20701585989445,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:09.64529825,142,700000000,gnss_link,1,1,55.8672822911514,37.69106376286572,150.20702939946204,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:09.358146822,142,800000000,gnss_link,1,1,55.86728228036841,37.69106237898707,150.20694877393544,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:09.671257863,142,900000000,gnss_link,1,1,55.86728226454982,37.691060954336244,150.20707120653242,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:09.981081791,143,0,gnss_link,1,1,55.8672822438534,37.69105954898092,150.20700045954436,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:10.391335736,143,100000000,gnss_link,1,1,55.86728221245739,37.69105813525415,150.20704404916614,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:10.738494309,143,200000000,gnss_link,1,1,55.86728218141348,37.6910567148261,150.207088987343,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:11.56072016,143,300000000,gnss_link,1,1,55.867282147157646,37.69105531822491,150.20704647805542,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:11.358197619,143,400000000,gnss_link,1,1,55.86728212002782,37.69105392398356,150.20705796591938,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:11.655154818,143,500000000,gnss_link,1,1,55.86728207780957,37.69105255196666,150.20703486166894,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:11.969629104,143,600000000,gnss_link,1,1,55.86728203564586,37.691051174096295,150.20706556551158,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
