time,header_stamp_secs,header_stamp_nsecs,header_frame_id,status_header_stamp_secs,status_header_stamp_nsecs,status_header_frame_id,status_satellites_used,status_satellites_visible,status_status,status_motion_source,status_orientation_source,status_position_source,latitude,longitude,altitude,track,speed,climb,pitch,roll,dip,time,gdop,pdop,hdop,vdop,tdop,err,err_horz,err_vert,err_track,err_speed,err_climb,err_time,err_pitch,err_roll,err_dip,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
2026/02/13 16:07:20.654924288,110,900000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1394174181398804,3.0200691166342366e-12,-5.72671231870441e-14,0.0,0.0,0.0,2026/02/13 16:07:20.654924288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:20.759571129,111,0,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.134728611592964,2.9649332619175516e-12,-4.705467854550227e-14,0.0,0.0,0.0,2026/02/13 16:07:20.759571129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:20.866061658,111,100000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1394138005750443,3.020072540039704e-12,-5.727930242036224e-14,0.0,0.0,0.0,2026/02/13 16:07:20.866061658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:20.972475943,111,200000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.134728822590422,2.96493527478362e-12,-4.70503280324981e-14,0.0,0.0,0.0,2026/02/13 16:07:20.972475943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:21.75932023,111,300000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1394141363087074,3.020067341682445e-12,-5.72752348407523e-14,0.0,0.0,0.0,2026/02/13 16:07:21.75932023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:21.179128059,111,400000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.1347295259983827,2.9649361595215245e-12,-4.705170427536882e-14,0.0,0.0,0.0,2026/02/13 16:07:21.179128059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:21.313844257,111,500000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.1347274893926516,2.9649328347288213e-12,-4.7061609719886604e-14,0.0,0.0,0.0,2026/02/13 16:07:21.313844257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:21.422545597,111,600000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.1274291478184133,2.9974556178158466e-12,-4.3095991282687696e-14,0.0,0.0,0.0,2026/02/13 16:07:21.422545597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:21.529005580,111,700000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.134728675123005,2.964934193426971e-12,-4.7070486646858454e-14,0.0,0.0,0.0,2026/02/13 16:07:21.529005580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:21.637949333,111,800000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1349326838504674,3.000506722694724e-12,-9.468128912343902e-14,0.0,0.0,0.0,2026/02/13 16:07:21.637949333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:21.749158679,111,900000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1394156405105926,3.020076701871015e-12,-5.727248287543592e-14,0.0,0.0,0.0,2026/02/13 16:07:21.749158679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:21.856915233,112,0,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1394157415422153,3.0200720919852524e-12,-5.726702873135265e-14,0.0,0.0,0.0,2026/02/13 16:07:21.856915233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
